,PR,NR,ABPR,ABNR,RET,RET_OC_M,RET_CO_M,SIZE,RET_6M,GPA,ILLIQ_M,Lead_R,Lead_NR,Lead_ABPR,Lead_ABNR,Lead_RET,Lead_RET_OC_M,Lead_RET_CO_M,Lead_SIZE,Lead_RET_6M,Lead_GPA,ILLIQ_M
ILLIQ_M,-0.038701656721520754,0.046327789307080425,-0.036293738860089665,0.05839954698027374,0.053644572743569575,0.06418371613375777,-0.0292816546944463,-0.08659357097402771,-0.08659357097402771,-0.036293738860089665,1.0,-0.0729913953903385,0.04519245922146501,-0.05866876740708983,0.06024052780154006,-0.005548761202212666,0.047881466960641196,-0.029255307966945535,-0.08725604529253046,-0.07805347630922267,-0.05866876740708983,1.0
Lead_R,0.9161354757586995,-0.34486973363825096,0.7826659295590964,-0.31482765973369087,-0.10616099731716744,-0.3266937903550574,0.2486012817049344,0.018127709405811557,0.018127709405811557,0.7826659295590964,-0.0729913953903385,1.0,-0.3516332376033328,0.8994142717445633,-0.33910130278547373,-0.17287243954957837,-0.33413374921560485,0.25962540631685493,0.015812200294882287,0.03840088636395231,0.8994142717445633,-0.07299139539033843
Lead_NR,-0.3033312519611432,0.9219043753570284,-0.21778403108210845,0.821327609181948,-0.005239319868654063,0.28117704721997394,-0.42233769541524385,0.09979069623952352,0.09979069623952352,-0.21778403108210845,0.04519245922146501,-0.3516332376033328,1.0,-0.26921661088855525,0.9275595775621497,0.031490381624890845,0.296817987419173,-0.42837028387834636,0.10228034384899669,-0.24907715968915475,-0.26921661088855525,0.04519245922146501
Lead_ABPR,0.9378499247776406,-0.2941405502439899,0.9659562384510141,-0.308914050597194,-0.1348286099945553,-0.35045292293363967,0.2166254719596493,-0.009965710335802562,-0.009965710335802562,0.9659562384510141,-0.05866876740708983,0.8994142717445633,-0.26921661088855525,1.0,-0.30389455086561945,-0.187079771987704,-0.3679636108046237,0.22250972425763108,-0.011474851854844958,-0.008249807966557348,1.0,-0.058668767407089845
Lead_ABNR,-0.3363428853854626,0.9403746118005858,-0.28124853987277026,0.9638488005869631,0.031118431223097164,0.34301424308796236,-0.47106143236003156,0.09543906612867195,0.09543906612867195,-0.28124853987277026,0.06024052780154006,-0.33910130278547373,0.9275595775621497,-0.30389455086561945,1.0,0.0672272078921457,0.3568047096536096,-0.47660989714667507,0.09755677987003757,-0.31991367456757536,-0.30389455086561945,0.06024052780154006
Lead_RET,-0.20484691887623832,0.08007967940380538,-0.18886500128185313,0.09656981546406979,0.8467849757921984,0.7329187573609057,0.361679865447627,0.03616838374216952,0.03616838374216952,-0.18886500128185313,-0.005548761202212666,-0.17287243954957837,0.031490381624890845,-0.187079771987704,0.0672272078921457,1.0,0.7324109543490648,0.35276945920873887,0.039481226588605756,0.16882845566413518,-0.187079771987704,-0.005548761202212674
Lead_RET_OC_M,-0.41684368616319095,0.40142098393010567,-0.3885405903269135,0.40577659506156954,0.7647319214638868,0.9913076145245955,-0.11758372733135841,0.11704735236990602,0.11704735236990602,-0.3885405903269135,0.047881466960641196,-0.33413374921560485,0.296817987419173,-0.3679636108046237,0.3568047096536096,0.7324109543490648,1.0,-0.1270833895743669,0.11900359607799128,-0.04628622158710497,-0.36796361080462364,0.04788146696064118
Lead_RET_CO_M,0.24230921225023425,-0.4398654497948484,0.19945731816281873,-0.46514282519209554,0.47275802471228345,-0.11370834370526343,0.997411932381695,-0.06366309867403355,-0.06366309867403355,0.19945731816281873,-0.029255307966945535,0.25962540631685493,-0.42837028387834636,0.22250972425763108,-0.47660989714667507,0.35276945920873887,-0.1270833895743669,1.0,-0.06477292888928254,0.5474467903400668,0.22250972425763102,-0.02925530796694553
Lead_SIZE,-0.026540751847262366,0.0718527579268856,-0.03763905273877944,0.07737067637644082,0.05780691495554384,0.10712069764917924,-0.06768705855094521,0.9997398711612409,0.9997398711612409,-0.03763905273877944,-0.08725604529253046,0.015812200294882287,0.10228034384899669,-0.011474851854844958,0.09755677987003757,0.039481226588605756,0.11900359607799128,-0.06477292888928254,1.0,-0.034636979532725334,-0.011474851854845,-0.08725604529253048
Lead_RET_6M,0.009488516010411764,-0.2913679026033028,-0.024823304886736088,-0.3396707710529359,0.06928151550328626,-0.0905569420773498,0.5570424890766096,-0.03379154445620361,-0.03379154445620361,-0.024823304886736088,-0.07805347630922267,0.03840088636395231,-0.24907715968915475,-0.008249807966557348,-0.31991367456757536,0.16882845566413518,-0.04628622158710497,0.5474467903400668,-0.034636979532725334,1.0,-0.008249807966557353,-0.07805347630922267
